run_id,experiment_key,model_name,size_variant,arch_type,dataset_size,n_params,val_loss,val_accuracy,training_time
4,decoder_small_n1000,decoder,small,decoder_only,1000,778504,8.558568681989398,0.0,0.8641695976257324
4,decoder_small_n5000,decoder,small,decoder_only,5000,778504,7.951479554176331,0.0,3.9706506729125977
4,decoder_small_n10000,decoder,small,decoder_only,10000,778504,7.598294576009114,0.0,8.40742301940918
4,decoder_base_n1000,decoder,base,decoder_only,1000,2343304,8.474933079310826,0.0,1.4795873165130615
4,decoder_base_n5000,decoder,base,decoder_only,5000,2343304,7.787639141082764,0.0,7.36419677734375
4,decoder_base_n10000,decoder,base,decoder_only,10000,2343304,7.1302340674021885,0.0,14.972956657409668
4,encoder_small_n1000,encoder,small,encoder_only,1000,420618,2.4027927943638394,0.125,0.5962128639221191
4,encoder_small_n5000,encoder,small,encoder_only,5000,420618,2.39202880859375,0.106,2.6778340339660645
4,encoder_small_n10000,encoder,small,encoder_only,10000,420618,2.345364040798611,0.105,5.752579689025879
4,encoder_base_n1000,encoder,base,encoder_only,1000,1434378,2.361201695033482,0.075,1.1418793201446533
4,encoder_base_n5000,encoder,base,encoder_only,5000,1434378,2.341242790222168,0.09,4.509150505065918
4,encoder_base_n10000,encoder,base,encoder_only,10000,1434378,2.3176405164930554,0.0935,9.43844747543335
4,encdec_small_n1000,encdec,small,encoder_decoder,1000,878728,8.58685030255999,0.0,1.3092281818389893
4,encdec_small_n5000,encdec,small,encoder_decoder,5000,878728,8.162289261817932,0.0,6.239664316177368
4,encdec_small_n10000,encdec,small,encoder_decoder,10000,878728,7.494098663330078,0.0,12.787043333053589
4,encdec_base_n1000,encdec,base,encoder_decoder,1000,3136904,8.594383784702845,0.0,2.3358511924743652
4,encdec_base_n5000,encdec,base,encoder_decoder,5000,3136904,7.680646657943726,0.0,11.521734952926636
4,encdec_base_n10000,encdec,base,encoder_decoder,10000,3136904,6.197507434421116,0.0,22.9633629322052
